username,repo_name,stars,repo_url
ljianshu,Blog,7300,htts://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,htts://github.com/metafizzy/infinite-scroll
developit,unfetch,5400,htts://github.com/developit/unfetch
jquery-form,form,5100,htts://github.com/jquery-form/form
olifolkerd,tabulator,4800,htts://github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,htts://github.com/Studio-42/elFinder
ded,reqwest,2900,htts://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,htts://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,htts://github.com/elbywan/wretch
LeaVerou,bliss,2400,htts://github.com/LeaVerou/bliss
wendux,ajax-hook,2100,htts://github.com/wendux/ajax-hook
noelboss,featherlight,2100,htts://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,htts://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1700,htts://github.com/ptaoussanis/sente
nette,tracy,1500,htts://github.com/nette/tracy
joaomilho,Enterprise,1500,htts://github.com/joaomilho/Enterprise
loadingio,css-spinner,1400,htts://github.com/loadingio/css-spinner
u014427391,jeeplatform,1400,htts://github.com/u014427391/jeeplatform
MoOx,pjax,1300,htts://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1300,htts://github.com/codingforentrepreneurs/eCommerce
